date,open,high,low,close,volume
2/01/2015,50.03,50.4,50.03,50.4,84844
5/01/2015,50.69,50.73,50.32,50.65,42645
6/01/2015,50.18,50.18,49.46,49.77,232437
7/01/2015,49.88,49.88,49.3,49.63,58253
8/01/2015,49.9,50.05,49.74,49.77,83496
9/01/2015,49.93,50.69,49.93,50.69,46818
12/01/2015,50.26,50.51,50.24,50.28,55655
13/01/2015,49.91,50.22,49.79,49.99,117553
14/01/2015,50,50.09,49.53,49.6,36094
15/01/2015,49.51,49.51,49.12,49.39,47060
16/01/2015,49.2,49.39,48.8,49.08,135653
19/01/2015,49.58,49.82,49.11,49.19,67519
20/01/2015,49.24,49.24,48.99,49.24,72647
21/01/2015,49.5,50,49.48,49.98,48733
22/01/2015,50.31,50.45,50.11,50.2,149185
23/01/2015,50.78,51,50.66,51,126883
27/01/2015,51.04,51.47,50.99,51.32,222744
28/01/2015,51.18,51.53,51.14,51.44,59821
29/01/2015,51.19,51.69,51.09,51.57,115067
30/01/2015,51.81,52.1,51.79,51.82,175872
2/02/2015,51.84,52.29,51.8,52.08,103012
3/02/2015,52.39,52.99,52.17,52.82,490148
4/02/2015,53.54,53.8,53.18,53.52,200494
5/02/2015,53.52,53.94,53.36,53.88,182557
6/02/2015,54.03,54.26,53.83,53.89,245743
9/02/2015,53.79,53.92,53.57,53.92,129986
10/02/2015,54.01,54.01,53.58,53.78,40312
11/02/2015,54,54,53.37,53.51,64443
12/02/2015,53.92,53.92,53.22,53.35,93260
13/02/2015,53.75,54.65,53.75,54.53,450344
16/02/2015,54.61,54.71,54.15,54.58,109518
17/02/2015,54.37,54.64,54.27,54.41,191610
18/02/2015,54.79,54.98,54.43,54.91,153915
19/02/2015,55,55.31,54.75,54.93,141390
20/02/2015,55.01,55.01,54.58,54.63,44591
23/02/2015,54.86,55.01,54.59,54.94,61687
24/02/2015,55.02,55.22,54.8,55.21,63450
25/02/2015,55.28,55.59,55.21,55.43,98839
26/02/2015,55.43,55.43,55.05,55.11,99926
27/02/2015,55.24,55.55,54.84,55.42,67964
2/03/2015,55.48,55.94,55.37,55.62,109107
3/03/2015,55.85,56.09,55.22,55.45,106674
4/03/2015,55.63,55.63,55.13,55.2,137470
5/03/2015,55.07,55.28,54.9,55.28,237175
6/03/2015,55.47,55.53,54.94,55.14,63024
9/03/2015,54.9,54.9,54.4,54.43,70103
10/03/2015,54.76,54.79,54.36,54.61,141506
11/03/2015,54.16,54.43,53.9,54.27,59723
12/03/2015,54.17,54.92,54.17,54.92,99904
